timestamp,token_address,token_symbol,profit_percent,buy_pool,sell_pool,buy_price,sell_price,liquidity_usd,volume_24h
2025-06-25 04:00:58,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,1.12,raydium,orca,0.005987,0.006096,236330,1467281
2025-06-25 04:00:59,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,2.02,orca,meteora,0.872900,0.896600,21019,9546
2025-06-25 04:00:59,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,DIO,71806.14,raydium,raydium,0.002866,2.060850,67753,19803
2025-06-25 04:01:06,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,1.13,meteora,orca,2.075780,2.113800,6378,7130
2025-06-25 04:01:09,G2pMCBjRQHHCkE79r9KAESvdhUCieWPZvX5GRFa3jCLg,SUBY,7.84,meteora,meteora,0.000018,0.000020,9200,208261
2025-06-25 04:01:21,J27UYHX5oeaG1YbUGQc8BmJySXDjNWChdGB2Pi2TMDAq,PCULE,1.02,meteora,meteora,0.000053,0.000054,61323,815072
2025-06-25 04:01:30,6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,MASK,3.11,meteora,meteora,0.000088,0.000091,1802,18935
2025-06-25 04:02:13,5DkLaee4Ctm9v8bka1zGeuPUTbngZaznZsc1t3L4pump,ZENAI,1.74,meteora,raydium,0.000006,0.000006,2109,6852
2025-06-25 04:02:17,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,SAMO,0.92,orca,orca,0.000014,0.000014,26338,13303
2025-06-25 04:02:19,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,9.94,meteora,meteora,0.000020,0.000022,1348,13637
2025-06-25 04:02:19,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,5.65,meteora,meteora,0.002897,0.003081,3226,33300
2025-06-25 04:02:24,9Poxe5aDkt8ggFWvcYZ9AX8QBBAAdgW844cgooNCULT,CULTS,4.83,meteora,meteora,0.000004,0.000005,23424,25477
2025-06-25 04:03:47,FP2XnGpqP5opNZujB6KPpXYWSAwq7BbTUVUnRij1bonk,CryBB,0.55,raydium,meteora,0.000083,0.000084,17013,1821584
2025-06-25 04:04:00,5mjbjHRb327yvcWUc5WPywhCbYi32pqUqxPUCtpipBLV,RUNNIT,3.50,orca,meteora,0.000008,0.000008,5950,81494
